Category,description
negative,the international electronic industry company elcoteq ha laid off ten of employee from it tallinn facility ; contrary to earlier layoff the company contracted the rank of it office worker the daily postimees reported .
positive,operating profit totalled eur 21.1 mn up from eur 18.6 mn in 2007 representing 9.7 of net sale .
positive,"a purchase agreement for 7,200 ton of gasoline with delivery at the hamina terminal finland wa signed with neste oil oyj at the average platts index for this september plus eight u dollar per month ."
positive,helsinki ( afx ) - share closed higher led by nokia after it announced plan to team up with sanyo to manufacture 3g handset and by nokian tyre after it fourth-quarter earnings report beat analyst expectation dealer said .
positive,lifetree wa founded in 2000 and it revenue have risen on an average by 40 with margin in late 30 .
positive,net sale increased to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 to eur43 .1 m. ( eur1 = usd1 .4 )
positive,nordea group operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euro and total revenue by 3 percent to 9.33 billion euro .
positive,operating profit for the nine-month period increased from eur13 .6 m while net sale increased from eur394 .7 m a compared to the corresponding period in 2005 .
positive,operating profit for the nine-month period increased from eur3 .1 m and net sale increased from eur61 .5 m a compared to the corresponding period in 2007 .
positive,a helsinki : eliiv today reported eps of eur1 .13 for 2009 an increase over eps of eur1 .12 in 2008 .
positive,in january traffic measured in revenue passenger kilometre rpk went up by 3.2 and capacity measured in available seat kilometre ask rose by 12.2 .
positive,net income from life insurance rose to eur 16.5 mn from eur 14.0 mn and net income from non-life insurance to eur 22.6 mn from eur 15.2 mn in 2009 .
positive,"nyrstar ha also agreed to supply to talvivaara up to 150,000 tonne of sulphuric acid per annum for use in talvivaara leaching process during the period of supply of the zinc in concentrate ."
positive,sale for both the department store division and hobby hall increased by 7 while sale for the clothing store subsidiary seppala decreased by 4 .
positive,sale increased due to growing market rate and increased operation .
positive,the company order book stood at 1.5 bln euro $ 2.2 bln on september 30 2007 up by 24.2 pct on the year with international order amounting to 365 mln euro $ 534.3 mln .
positive,the company said that paper demand increased in all of it main market including of publication paper and that it increased average paper price by 4 percent compared with last year .
positive,the world second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million u $ 781 million or euro3 .33 u $ 4.31 per share from euro172 million or euro0 .94 per share the previous year .
positive,seppala revenue increased by 0.2 to eur10 .1 m. in finland revenue went down by 2.4 to eur6 .8 m while sale abroad rose by 6.2 to eur3 .3 m. sale increased in all the baltic country a well a in russia and ukraine .
positive,in it financial report published on friday seb said it net profit soared to sek6 .745 bn in 2010 from a year-earlier sek1 .114 bn and proposed a 50 dividend increase to sek1 .50 per share .
neutral,in sweden gallerix accumulated sek denominated sale were down 1 and eur denominated sale were up 11 .
positive,at first the contract envisaged the construction of three ferryboat with an option for two more unit further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .
positive,kesko corporation stock exchange release 28.02.2008 at 09.30 1 ( 1 ) kesko corporation and aspo plc today signed an agreement by which aspo acquires the share capital of kauko-telko ltd a subsidiary wholly owned by kesko .
neutral,stock exchange announcement 20 july 2006 1 ( 1 ) basware share subscription with warrant and increase in share capital a total of 119 850 share have been subscribed with basware warrant program .
neutral,the new plant is planned to have an electricity generation capacity of up to 350 megawatt ( mw ) and the same heat generation capacity .
neutral,"a a result of the share issue the number of the company share increase by 391,630 share and the share capital by a total of eur 15,665.20 ."
neutral,telecomworldwire-7 april 2006-tj group plc sell stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling it share of morning digital design oy to edita oyj .
neutral,"the 718,430 new series a share will become subject to trading on the helsinki stock exchange main list together with the old series a share on july 3 2006 ."
neutral,the fuel purchase contract have been signed with three month delivery from this september to november .
positive,under this agreement biohit becomes a focus supplier of pipettors and disposable pipettor tip to vwr customer throughout europe .
neutral,no blind-spots coming from 1 vantage point allows investigator to see the whole story in high resolution with no unbroken video .
positive,in january-september 2007 finnlines net sale rose to eur 505.4 mn from eur 473.5 mn in the corresponding period in 2006 .
positive,finnish aktia group operating profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .
positive,finnish high technology provider vaahto group report net sale of eur 41.8 mn in the accounting period september 2007 - february 2008 an increase of 11.2 from a year earlier .
positive,finnish and swedish construction market are still experiencing an estimated 4 annual growth in 2008 .
positive,in 2009 fiskars cash flow from operating activity amounted to eur121m up from eur97m in the previous year .
positive,net sale rose by 25.5 year-on-year to eur59 .6 m a the number of charger delivered went up by 41 to 65.9 million piece .
positive,operating profit margin increased from 11.2 to 11.7 .
positive,operating profit rose to eur 5mn from eur 2.8 mn in the fourth quarter of 2008 .
positive,revenue grew by 2 percent to x20ac 580 million $ 743 million from x20ac 569 million .
positive,sanoma magazine net sale are estimated to grow in 2006 .
positive,the department store division reported an increase in sale of 4 per cent .
positive,the priority for 2009 wa to strengthen the company balance sheet and increase cash flow ceo hannu krook said .
positive,according to finnish metso mineral the value of the company order ha gone up to eur 1.9 bn in 12 month .
positive,finnish aldata solution ha signed a contract of supply it g.o.l.d . system to two french retail chain .
positive,finnish bank of +_land report it operating profit rose to eur 21.3 mn in the second quarter of 2009 from eur 6.1 mn in the corresponding period in 2008 .
positive,finnish okmetic that manufacture and process silicon wafer for the semiconductor and sensor industry and norwegian solar wafer company norsun have signed a contract under which okmetic will supply norsun mono silicon crystal for use in solar cell manufacturing .
positive,finnish ponsse ha signed an agreement with babcock africa for the distribution and support of ponsse forest machine harvester head and information system in south africa .
positive,according to deputy md pekka silvennoinen the aim is double turnover over the next three year .
positive,again the most significant sale increase of 18.6 wa in russia .
positive,both operating profit and net sale for the 12-month period increased respectively from eur4 .7 m and eur26 .7 m a compared to 2004 .
positive,both operating profit and net sale for the six-month period increased respectively from eur18 .1 m and eur127 .6 m a compared to the corresponding period in 2006 .
positive,both operating profit and net sale for the three-month period increased respectively from eur15 .1 m and eur131 .5 m a compared to the corresponding period in 2005 .
positive,both operating profit and turnover for the nine-month period increased respectively from eur2 .4 m and eur43 .8 m a compared to the corresponding period a year ago .
positive,cargo volume increased by approximately 5 .
positive,digia said it consolidated net sale for january-june 2010 were eur67 .8 m up 9.7 on the same period in 2009 ( eur61 .9 m ) .
positive,diluted eps rose to eur3 .68 from eur0 .50 .
positive,finnish lifting equipment maker konecranes oyj said on july 30 2008 that it net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 .
positive,finnish metal industry solution supplier outotec oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine month of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .
positive,finnish metal product company componenta oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .
positive,finnish security and privacy software solution developer stonesoft oyj said on january 7 2008 that the preliminary sale of it stonegate product grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .
positive,finnish silicon wafer technology company okmetic oyj ( omx helsinki : okm1v ) reported on thursday ( 7 august ) an operating profit of eur5 .3 m for the period january-june 2008 up from eur3 .3 m in the corresponding period in 2007 .
