Category,description
neutral,according to gran the company ha no plan to move all production to russia although that is where the company is growing .
neutral,"technopolis plan to develop in stage an area of no le than 100,000 square meter in order to host company working in computer technology and telecommunication the statement said ."
positive,with the new production plant the company would increase it capacity to meet the expected increase in demand and would improve the use of raw material and therefore increase the production profitability .
positive,according to the company updated strategy for the year 2009-2012 basware target a long-term net sale growth in the range of 20 -40 with an operating profit margin of 10 -20 of net sale .
positive,financing of aspocomp growth aspocomp is aggressively pursuing it growth strategy by increasingly focusing on technologically more demanding hdi printed circuit board pcbs .
positive,for the last quarter of 2010 componenta net sale doubled to eur131m from eur76m for the same period a year earlier while it moved to a zero pre-tax profit from a pre-tax loss of eur7m .
positive,in the third quarter of 2010 net sale increased by 5.2 to eur 205.5 mn and operating profit by 34.9 to eur 23.5 mn .
positive,operating profit rose to eur 13.1 mn from eur 8.7 mn in the corresponding period in 2007 representing 7.7 of net sale .
positive,teliasonera tlsn said the offer is in line with it strategy to increase it ownership in core business holding and would strengthen eesti telekom offering to it customer .
positive,stora enso norske skog m-real upm-kymmene credit suisse first boston ( cfsb ) raised the fair value for share in four of the largest nordic forestry group .
positive,finnish talentum report it operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 and net sale totaled eur 103.3 mn up from eur 96.4 mn .
positive,clothing retail chain sepp+æl+æ sale increased by 8 to eur 155.2 mn and operating profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .
positive,consolidated net sale increased 16 to reach eur74 .8 m while operating profit amounted to eur0 .9 m compared to a loss of eur0 .7 m in the prior year period .
positive,foundry division report it sale increased by 9.7 to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 and sale of the machine shop division increased by 16.4 to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .
positive,incap contract manufacturing service pvt ltd a subsidiary of incap corporation of finland plan to double it revenue by 2007-2008 .
positive,it board of director will propose a dividend of eur0 .12 per share for 2010 up from the eur0 .08 per share paid in 2009 .
positive,( filippova ) a trilateral agreement on investment in the construction of a technology park in st petersburg wa to have been signed in the course of the forum day of the russian economy that opened in helsinki today .
positive,megafon subscriber base increased 16.1 in 2009 to 50.5 million user a of december 31 while it market share by the number of customer amounted to 24 a of late 2009 up from 23 a of late 2008 according to teliasonera estimate .
positive,net income from life insurance doubled to eur 6.8 mn from eur 3.2 mn and net income from non-life insurance rose to eur 5.2 mn from eur 1.5 mn in the corresponding period in 2009 .
positive,net sale surged by 18.5 to eur167 .8 m. teleste said that eur20 .4 m or 12.2 of the sale came from the acquisition made in 2009 .
positive,operating profit for the three-month period increased from eur1 .2 m while revenue increased from eur20 .2 m a compared to the corresponding period in 2005 .
positive,"the brazilian unit of finnish security solution provider f-secure signed up 1,500 new client last year online news source reseller web quoted the division commercial director vladimir brand+_o a saying ."
positive,the company net profit rose 11.4 on the year to 82.2 million euro in 2005 on sale of 686.5 million euro 13.8 up on the year the company said earlier .
positive,the lithuanian beer market made up 14.41 million liter in january a rise of 0.8 percent from the year-earlier figure the lithuanian brewer association reporting citing the result from it member .
positive,"viking line cargo revenue increased by 5.4 to eur 21.46 mn and cargo volume increased by 2.4 to 70,116 cargo unit ."
positive,"the fair value of the property portfolio doubled a a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million ."
positive,10 february 2011 - finnish medium company sanoma oyj hel : saa1v said yesterday it 2010 net profit almost tripled to eur297 .3 m from eur107 .1 m for 2009 and announced a proposal for a raised payout .
positive,aspo plc stock exchange release february 11 2011 at8 .45 a.m. esl shipping ltd part of aspo group ha signed a new long-term contract with rautaruukki corporation for the marine transport of raw material on the baltic sea .
positive,commission income increased by 22 to eur 4.4 mn and lending volume rose by 13.5 .
positive,in january-september 2010 fiskars net profit went up by 14 year-on-year to eur 65.4 million and net sale to eur 525.3 million from eur 487.7 million .
positive,sale have risen in other export market .
positive,the agreement strengthens our long-term partnership with nokia siemens network .
positive,the agreement wa signed with biohit healthcare ltd the uk-based subsidiary of biohit oyj a finnish public company which develops manufacture and market liquid handling product and diagnostic test system .
positive,the company also estimate the already carried out investment to lead to an increase in it net sale for 2010 from 2009 when they reached eur 141.7 million .
positive,within the framework of the partnership nokia siemens network ha signed an initial framework purchase agreement with sitronics subsidiary jsc mikron which is the largest manufacturer and exporter of microelectronic component in russia .
positive,share of standard chartered ( stan ) rose 1.2 in the ftse 100 while royal bank of scotland ( rb ) share rose 2 and barclays share ( barc ) ( bcs ) were up 1.7 .
positive,share of nokia corp. rose thursday after the cell phone maker said it third-quarter earnings almost doubled and it share of the global handset market increased .
positive,sale for the department store division increased by 15 and sale for the clothing store subsidiary seppala increased by 8 meanwhile sale for hobby hall decreased by 12 .
neutral,at the request of finnish medium company alma medium newspaper research manager jari kaivo-oja at the finland future research centre at the turku school of economics ha drawn up a future scenario for finland national economy by using a model developed by the university of denver .
neutral,the company support it global customer in developing new technology and offer a fast route from product development to application and volume production .
